id,text,label,source,difficulty,ambiguous
ec-negative-18,照片好看，实物没那么有质感。,negative,synthetic,subtle,false
ec-negative-19,价格不低，功能和普通款差不多。,negative,synthetic,subtle,false
ec-negative-20,包装严实，配件反而少一个。,negative,synthetic,subtle,false
ec-negative-21,颜色喜欢，质量却未达预期。,negative,synthetic,subtle,false
ec-negative-22,功能够用，但物流太久，希望改进。,negative,synthetic,ambiguous,true
ec-negative-23,颜色喜欢，不过面料让我失望。,negative,synthetic,ambiguous,true
ec-negative-24,保温可以，杯盖有味道，评价偏低。,negative,synthetic,ambiguous,true
ec-inquiry-01,保温杯能放洗碗机清洗吗？,inquiry,synthetic,clear,false
ec-inquiry-02,耳机充满电大约要多久？,inquiry,synthetic,clear,false
ec-inquiry-03,小号收纳箱内径是多少？,inquiry,synthetic,clear,false
ec-inquiry-04,下单后通常从哪里发出？,inquiry,synthetic,clear,false
ec-inquiry-05,外套偏瘦身形怎么选码？,inquiry,synthetic,clear,false
ec-inquiry-06,灯泡坏了能单独更换吗？,inquiry,synthetic,clear,false
ec-inquiry-07,背包侧袋能放下水瓶吗？,inquiry,synthetic,clear,false
ec-inquiry-08,桌椅安装需自备工具吗？,inquiry,synthetic,clear,false
ec-inquiry-09,这双鞋适合雨天穿吗？,inquiry,synthetic,clear,false
ec-inquiry-10,到货后能改收货时间吗？,inquiry,synthetic,clear,false
ec-inquiry-11,是否提供电子发票？,inquiry,synthetic,clear,false
ec-inquiry-12,深色款会不会容易粘灰？,inquiry,synthetic,clear,false
ec-inquiry-13,听说杯盖会漏水，新版改进了吗？,inquiry,synthetic,subtle,false
ec-inquiry-14,急着出差用，最快何时送到？,inquiry,synthetic,subtle,false
ec-inquiry-15,衣服不错，换尺码流程复杂吗？,inquiry,synthetic,subtle,false
ec-inquiry-16,双设备切换时会断音吗？,inquiry,synthetic,subtle,false
ec-inquiry-17,重一点的平板也能稳住吗？,inquiry,synthetic,subtle,false
ec-inquiry-18,折叠后的具体宽度是多少？,inquiry,synthetic,subtle,false
ec-inquiry-19,这个颜色会不会褪色？,inquiry,synthetic,subtle,false
ec-inquiry-20,送人时会附礼品袋吗？,inquiry,synthetic,subtle,false
ec-inquiry-21,瑕疵品应从哪里申请售后？,inquiry,synthetic,subtle,false
ec-inquiry-22,商品不错，若有问题怎样申请售后？,inquiry,synthetic,ambiguous,true
ec-inquiry-23,喜欢这个设计，能换另一种颜色吗？,inquiry,synthetic,ambiguous,true
ec-inquiry-24,包裹晚到时该从哪查询？,inquiry,synthetic,ambiguous,true
ec-complaint-01,玻璃杯碎了，请尽快退款。,complaint,synthetic,clear,false
ec-complaint-02,订单显示签收但我没拿到，请核查。,complaint,synthetic,clear,false
ec-complaint-03,同一订单被扣两次钱，马上处理。,complaint,synthetic,clear,false
ec-complaint-04,发来的颜色完全不对，请换货。,complaint,synthetic,clear,false
ec-complaint-05,使用第一天就冒烟，请联系解决。,complaint,synthetic,clear,false
ec-complaint-06,承诺的配件没放进包裹，请补发。,complaint,synthetic,clear,false
ec-complaint-07,商品漏水弄湿书本，需要赔偿处理。,complaint,synthetic,clear,false
ec-complaint-08,物流停一周了，请说明解决时间。,complaint,synthetic,clear,false
ec-complaint-09,客服多次不回复，我要退款。,complaint,synthetic,clear,false
ec-complaint-10,尺码发错影响活动，请优先换货。,complaint,synthetic,clear,false
ec-complaint-11,包装内少一件，要求补齐。,complaint,synthetic,clear,false
ec-complaint-12,页面写有赠品却没收到，请处理。,complaint,synthetic,clear,false
ec-complaint-13,东西还可以但表面裂开，请安排售后。,complaint,synthetic,subtle,false
ec-complaint-14,虽然到了，延误三天造成麻烦，请给方案。,complaint,synthetic,subtle,false
ec-complaint-15,颜色能接受，可电源无法启动，请解决。,complaint,synthetic,subtle,false
ec-complaint-16,包装漂亮，内胆有破洞，我要退款。,complaint,synthetic,subtle,false
ec-complaint-17,客服态度尚可，重复扣款还没退，请今天处理。,complaint,synthetic,subtle,false
ec-complaint-18,用着方便，但少发零件无法安装，请补寄。,complaint,synthetic,subtle,false
ec-complaint-19,音质不错却总断连，影响工作，请维修。,complaint,synthetic,subtle,false
ec-complaint-20,尺寸标错，只能要求换正确规格。,complaint,synthetic,subtle,false
ec-complaint-21,物流放错地点导致丢失，请协助赔付。,complaint,synthetic,subtle,false
ec-complaint-22,整体不错但已经破损，请立刻换货。,complaint,synthetic,ambiguous,true
ec-complaint-23,耳机满意却重复扣费，要求退款。,complaint,synthetic,ambiguous,true
ec-complaint-24,包裹后来到了，但延误严重，请补偿。,complaint,synthetic,ambiguous,true
ec-other-01,页面搭配照片很有春天气息。,other,synthetic,clear,false
ec-other-02,我先加入收藏，之后再决定。,other,synthetic,clear,false
ec-other-03,朋友推荐过这个系列，来看看详情。,other,synthetic,clear,false
ec-other-04,路过橱窗展示，顺手留个感想。,other,synthetic,clear,false
ec-other-05,这个名字读起来很特别。,other,synthetic,clear,false
ec-other-06,照片背景的桌子像我家的。,other,synthetic,clear,false
ec-other-07,整理购物清单时记下它。,other,synthetic,clear,false
ec-other-08,家里人对这类用品看法不同。,other,synthetic,clear,false
ec-other-09,还没决定买不买，先留记号。,other,synthetic,clear,false
ec-other-10,新包装上线后外观变化明显。,other,synthetic,clear,false
ec-other-11,评论区讨论得很热闹。,other,synthetic,clear,false
ec-other-12,希望以后有更多颜色。,other,synthetic,clear,false
ec-other-13,有人夸耐用，也有人觉得普通。,other,synthetic,subtle,false
ec-other-14,优缺点都看到了，等需要再说。,other,synthetic,subtle,false
ec-other-15,只是浏览到这里，没有问题。,other,synthetic,subtle,false
ec-other-16,这个设计让我想起旧物。,other,synthetic,subtle,false
ec-other-17,看完介绍仍在比较别的选择。,other,synthetic,subtle,false
ec-other-18,价格有波动，先不评价。,other,synthetic,subtle,false
ec-other-19,朋友说可以试试，我还没下单。,other,synthetic,subtle,false
ec-other-20,留言信息很多，暂时没有结论。,other,synthetic,subtle,false
ec-other-21,今天只是做个收藏提醒。,other,synthetic,subtle,false
ec-other-22,有人喜欢有人不喜欢，我暂时没事要办。,other,synthetic,ambiguous,true
ec-other-23,优缺点都有，现在不咨询也不处理。,other,synthetic,ambiguous,true
ec-other-24,信息很多，我还没形成购买或投诉想法。,other,synthetic,ambiguous,true
